|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|AMA|EKO|Amarillo, TX     |Elko, NV|124|124|1| 858|199308| 202960| 40259|
|AMA|EKO|Amarillo, TX     |Elko, NV|115|124|1| 858|199406| 206315| 41668|
|ICT|EKO|Wichita, KS      |Elko, NV|100|124|1|1007|199607| 552884| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|SPS|EKO|Wichita Falls, TX|Elko, NV|122|124|1|1059|199603| 147683| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|AMA|EKO|Amarillo, TX     |Elko, NV|124|124|1| 858|199308| 202960| 40259|
|AMA|EKO|Amarillo, TX     |Elko, NV|115|124|1| 858|199406| 206315| 41668|
|ICT|EKO|Wichita, KS      |Elko, NV|100|124|1|1007|199607| 552884| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|SPS|EKO|Wichita Falls, TX|Elko, NV|122|124|1|1059|199603| 147683| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|AMA|EKO|Amarillo, TX     |Elko, NV|124|124|1| 858|199308| 202960| 40259|
|AMA|EKO|Amarillo, TX     |Elko, NV|115|124|1| 858|199406| 206315| 41668|
|ICT|EKO|Wichita, KS      |Elko, NV|100|124|1|1007|199607| 552884| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|SPS|EKO|Wichita Falls, TX|Elko, NV|122|124|1|1059|199603| 147683| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|AMA|EKO|Amarillo, TX     |Elko, NV|124|124|1| 858|199308| 202960| 40259|
|AMA|EKO|Amarillo, TX     |Elko, NV|115|124|1| 858|199406| 206315| 41668|
|ICT|EKO|Wichita, KS      |Elko, NV|100|124|1|1007|199607| 552884| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|SPS|EKO|Wichita Falls, TX|Elko, NV|122|124|1|1059|199603| 147683| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|AMA|EKO|Amarillo, TX     |Elko, NV|124|124|1| 858|199308| 202960| 40259|
|AMA|EKO|Amarillo, TX     |Elko, NV|115|124|1| 858|199406| 206315| 41668|
|ICT|EKO|Wichita, KS      |Elko, NV|100|124|1|1007|199607| 552884| 45034|
|MFR|RDM|Medford, OR      |Bend, OR|  0|  0|1| 156|200810| 200298|157730|
|SPS|EKO|Wichita Falls, TX|Elko, NV|122|124|1|1059|199603| 147683| 45034|
